Traceback (most recent call last):
  File "./combine_obs_2min.py", line 3, in <module>
    from letkfobsio import *
ModuleNotFoundError: No module named 'letkfobsio'
2013:07:13 03-58-30 -> 2013:07:13 04-00-00
2013:07:13 03-59-30 -> 2013:07:13 04-00-00
2013:07:13 03-59-00 -> 2013:07:13 04-00-00
2013:07:13 04-00-00 -> 2013:07:13 04-00-00
2013:07:13 03-59-30 -> 2013:07:13 04-00-00
2013:07:13 04-00-00 -> 2013:07:13 04-00-00
2013:07:13 04-00-30 -> 2013:07:13 04-01-00
2013:07:13 04-01-00 -> 2013:07:13 04-01-00
2013:07:13 04-00-30 -> 2013:07:13 04-02-00
2013:07:13 04-01-30 -> 2013:07:13 04-02-00
2013:07:13 04-01-00 -> 2013:07:13 04-02-00
2013:07:13 04-02-00 -> 2013:07:13 04-02-00
2013:07:13 04-01-30 -> 2013:07:13 04-02-00
2013:07:13 04-02-00 -> 2013:07:13 04-02-00
2013:07:13 04-02-30 -> 2013:07:13 04-03-00
2013:07:13 04-03-00 -> 2013:07:13 04-03-00
2013:07:13 04-02-30 -> 2013:07:13 04-04-00
2013:07:13 04-03-00 -> 2013:07:13 04-04-00
2013:07:13 04-03-30 -> 2013:07:13 04-04-00
2013:07:13 04-03-30 -> 2013:07:13 04-04-00
2013:07:13 04-04-00 -> 2013:07:13 04-04-00
2013:07:13 04-04-00 -> 2013:07:13 04-04-00
2013:07:13 04-04-30 -> 2013:07:13 04-05-00
2013:07:13 04-05-00 -> 2013:07:13 04-05-00
2013:07:13 04-04-30 -> 2013:07:13 04-06-00
2013:07:13 04-05-00 -> 2013:07:13 04-06-00
2013:07:13 04-05-30 -> 2013:07:13 04-06-00
2013:07:13 04-05-30 -> 2013:07:13 04-06-00
2013:07:13 04-06-00 -> 2013:07:13 04-06-00
2013:07:13 04-06-00 -> 2013:07:13 04-06-00
2013:07:13 04-06-30 -> 2013:07:13 04-07-00
2013:07:13 04-07-00 -> 2013:07:13 04-07-00
2013:07:13 04-06-30 -> 2013:07:13 04-08-00
2013:07:13 04-07-00 -> 2013:07:13 04-08-00
2013:07:13 04-07-30 -> 2013:07:13 04-08-00
2013:07:13 04-07-30 -> 2013:07:13 04-08-00
2013:07:13 04-08-00 -> 2013:07:13 04-08-00
2013:07:13 04-08-00 -> 2013:07:13 04-08-00
2013:07:13 04-08-30 -> 2013:07:13 04-09-00
2013:07:13 04-09-00 -> 2013:07:13 04-09-00
2013:07:13 04-08-30 -> 2013:07:13 04-10-00
2013:07:13 04-09-00 -> 2013:07:13 04-10-00
2013:07:13 04-09-30 -> 2013:07:13 04-10-00
2013:07:13 04-09-30 -> 2013:07:13 04-10-00
2013:07:13 04-10-00 -> 2013:07:13 04-10-00
2013:07:13 04-10-00 -> 2013:07:13 04-10-00
2013:07:13 04-10-30 -> 2013:07:13 04-11-00
2013:07:13 04-11-00 -> 2013:07:13 04-11-00
2013:07:13 04-10-30 -> 2013:07:13 04-12-00
2013:07:13 04-11-00 -> 2013:07:13 04-12-00
2013:07:13 04-11-30 -> 2013:07:13 04-12-00
2013:07:13 04-11-30 -> 2013:07:13 04-12-00
2013:07:13 04-12-00 -> 2013:07:13 04-12-00
2013:07:13 04-12-00 -> 2013:07:13 04-12-00
2013:07:13 04-12-30 -> 2013:07:13 04-13-00
2013:07:13 04-13-00 -> 2013:07:13 04-13-00
2013:07:13 04-12-30 -> 2013:07:13 04-14-00
2013:07:13 04-13-00 -> 2013:07:13 04-14-00
2013:07:13 04-13-30 -> 2013:07:13 04-14-00
2013:07:13 04-13-30 -> 2013:07:13 04-14-00
2013:07:13 04-14-00 -> 2013:07:13 04-14-00
2013:07:13 04-14-00 -> 2013:07:13 04-14-00
2013:07:13 04-14-30 -> 2013:07:13 04-15-00
2013:07:13 04-15-00 -> 2013:07:13 04-15-00
2013:07:13 04-14-30 -> 2013:07:13 04-16-00
2013:07:13 04-15-00 -> 2013:07:13 04-16-00
2013:07:13 04-15-30 -> 2013:07:13 04-16-00
2013:07:13 04-15-30 -> 2013:07:13 04-16-00
2013:07:13 04-16-00 -> 2013:07:13 04-16-00
2013:07:13 04-16-00 -> 2013:07:13 04-16-00
2013:07:13 04-16-30 -> 2013:07:13 04-17-00
2013:07:13 04-17-00 -> 2013:07:13 04-17-00
2013:07:13 04-16-30 -> 2013:07:13 04-18-00
2013:07:13 04-17-00 -> 2013:07:13 04-18-00
2013:07:13 04-17-30 -> 2013:07:13 04-18-00
2013:07:13 04-17-30 -> 2013:07:13 04-18-00
2013:07:13 04-18-00 -> 2013:07:13 04-18-00
2013:07:13 04-18-00 -> 2013:07:13 04-18-00
2013:07:13 04-18-30 -> 2013:07:13 04-19-00
2013:07:13 04-19-00 -> 2013:07:13 04-19-00
2013:07:13 04-18-30 -> 2013:07:13 04-20-00
2013:07:13 04-19-00 -> 2013:07:13 04-20-00
2013:07:13 04-19-30 -> 2013:07:13 04-20-00
2013:07:13 04-19-30 -> 2013:07:13 04-20-00
2013:07:13 04-20-00 -> 2013:07:13 04-20-00
2013:07:13 04-20-00 -> 2013:07:13 04-20-00
2013:07:13 04-20-30 -> 2013:07:13 04-21-00
2013:07:13 04-21-00 -> 2013:07:13 04-21-00
2013:07:13 04-20-30 -> 2013:07:13 04-22-00
2013:07:13 04-21-00 -> 2013:07:13 04-22-00
2013:07:13 04-21-30 -> 2013:07:13 04-22-00
2013:07:13 04-21-30 -> 2013:07:13 04-22-00
2013:07:13 04-22-00 -> 2013:07:13 04-22-00
2013:07:13 04-22-00 -> 2013:07:13 04-22-00
2013:07:13 04-22-30 -> 2013:07:13 04-23-00
2013:07:13 04-23-00 -> 2013:07:13 04-23-00
2013:07:13 04-22-30 -> 2013:07:13 04-24-00
2013:07:13 04-23-00 -> 2013:07:13 04-24-00
2013:07:13 04-23-30 -> 2013:07:13 04-24-00
2013:07:13 04-23-30 -> 2013:07:13 04-24-00
2013:07:13 04-24-00 -> 2013:07:13 04-24-00
2013:07:13 04-24-00 -> 2013:07:13 04-24-00
2013:07:13 04-24-30 -> 2013:07:13 04-25-00
2013:07:13 04-25-00 -> 2013:07:13 04-25-00
2013:07:13 04-24-30 -> 2013:07:13 04-26-00
2013:07:13 04-25-00 -> 2013:07:13 04-26-00
2013:07:13 04-25-30 -> 2013:07:13 04-26-00
2013:07:13 04-25-30 -> 2013:07:13 04-26-00
2013:07:13 04-26-00 -> 2013:07:13 04-26-00
2013:07:13 04-26-00 -> 2013:07:13 04-26-00
2013:07:13 04-26-30 -> 2013:07:13 04-27-00
2013:07:13 04-27-00 -> 2013:07:13 04-27-00
2013:07:13 04-26-30 -> 2013:07:13 04-28-00
2013:07:13 04-27-30 -> 2013:07:13 04-28-00
2013:07:13 04-27-00 -> 2013:07:13 04-28-00
2013:07:13 04-28-00 -> 2013:07:13 04-28-00
2013:07:13 04-27-30 -> 2013:07:13 04-28-00
2013:07:13 04-28-00 -> 2013:07:13 04-28-00
2013:07:13 04-28-30 -> 2013:07:13 04-29-00
2013:07:13 04-29-00 -> 2013:07:13 04-29-00
2013:07:13 04-28-30 -> 2013:07:13 04-30-00
2013:07:13 04-29-30 -> 2013:07:13 04-30-00
2013:07:13 04-29-00 -> 2013:07:13 04-30-00
2013:07:13 04-30-00 -> 2013:07:13 04-30-00
2013:07:13 04-29-30 -> 2013:07:13 04-30-00
2013:07:13 04-30-00 -> 2013:07:13 04-30-00
2013:07:13 04-30-30 -> 2013:07:13 04-31-00
